keys,en,sw,kam,kik,miji,luo,bor
exit_invalid_input,"CON Invalid input. Nothing selected
00. Back
99. Exit","CON Chaguo lako halipatikani. Hakuna kilichochaguliwa.
00. Rudi
99. Ondoka","CON Usakuo waku wiikwonekana.Vaii kindu kisakue.
00. Itina
99. Uma","CON Shaguro riaku ritironekana. Hatiri kindu washaghura.
00. Thutha
99. Uma","CON Tsaguloro karipatikana. Kakuna Kutsagurire chochosi.
00. Uya nyuma
99. Ombola","CON Yiero ni okyudre. Onge gima iyiero.
00. Chien
99. Wuok","CON Ka at chaguad injirt. oo
00. dheebi
99. Bai"
exit_pin_blocked,"END Your PIN has been blocked. For help, please call %{support_phone}.",END PIN yako imefungwa. Kwa usaidizi tafadhali piga simu %{support_phone}.,END PIN yaku niyavingwa. Kutethwa kuna simu %{support_phone}.,END PIN yaku niyahingwo. Kwa uteithio hura thimu %{support_phone}.,END. Piniyo ifungwa. Kwa kuavizwa unaangwa upige simu %{support_phone}.,END PIN ni olor. Kuom kony go simu e %{support_phone}.,END Pin kake yahidat. Qarqarsa simu dai %{support_phone}.
exit_invalid_pin,"END The PIN you have entered is invalid. PIN must consist of 4 digits. For help, call %{support_phone}.",END PIN uliyobonyeza sio sahihi. PIN lazima iwe na nambari nne. Kwa usaidizi piga simu %{support_phone}.,END PIN ila wekia iyaile. Ni lasima PIN ithiwe na namba inya. Kutethwa kuna %{support_phone}.,END  PIN  iria wekera tii njega. PIN nomohaka ikorwo na namba inya. Kwa uteithio hura thimu %{support_phone}.,"END Namba fitse urohofya seyo, kaisawa. Namba fitswe inamalwa ikale na namba nee. Kwa kuvizwa, piga simu%{support_phone}.",END. PIN miketo oknikare. Nyaka obed gi nembni ang'wen. Kuom kony go simu e %{support_phone}.,END PIN ka at keket suninit. PIN Pin namba afuuri tatatu. Qarqarsa simu dai %{support_phone}.
exit_invalid_new_pin,"END The PIN you have entered is invalid. PIN must be different from your current PIN. For help, call %{support_phone}.",END PIN uliyobonyeza sio sahihi. PIN lazima iwe tofauti na pin yako ya sasa. Kwa usaidizi piga simu %{support_phone}.,END PIN ila wekia iyaile. PIN ni lasima ithiwe tofauti na pin yaku ya oyu. Kutethwa kuna %{support_phone}.,END  PIN iria wekera ti njega. PIN nomohaka ikorwo na namba ndiganu na ya riu . Kwa uteithio hora thimu %{support_phone}.,END Pini uriyo hopya kai karakara. Piniyo inahenzekana ikale itofauti na uhumirayo vivi. Kwa maavizo piga simu %{support_phone}.,END PIN miketo oknikare. Nyaka obed mopogore gi nambani mopondo masani. Kuom kony gochi e %{support_phone}.,END PIN ka at keket suninit.Pin kake walinfakaatin.Qarqars simu dai %{support_phone}.
exit_pin_mismatch,"END The new PIN does not match the one you entered. Please try again. For help, call %{support_phone}.",END PIN mpya na udhibitisho wa pin mpya hazilingani. Tafadhali jaribu tena. Kwa usaidizi piga simu %{support_phone}.,END PIN yumbya na kwikiithya kwayo syivwanene. Tata ingi. Kutethwa kuna %{support_phone}.,END PIN njeru na pin ya guetekeria shitira hianana . Geria ringi. Kwa uteithio hora thimu %{support_phone}.,END Pini uzdoinjiza kaikara kara na uriyohopya laphiri. Unavoywa ujeze kaheri. Kwa kuavizwa piga simu %{support_phone}.,GIKO. PIN miketo opogore gi manikuongo keto. Kiyie to ket kendo. Kuom kony gochi e %{support_phone}.,END Pin hareti ka at kekeet walinfakan. it dheebi amaale.Qarqars simu dai%{support_phone}.
exit_invalid_recipient,"CON Recipient's phone number is not registered or is invalid:
00. Retry
99. Exit","CON Mpokeaji wa nambari hapatikani au sio sahihi.
00. Jaribu tena
99. Ondoka","CON Mukwati wa namba timwandikithye kana namba iyaile
00. Tata ingi
99. Uma","CON Namba ya mwamukeri ndiandekithetio kana ti njega 
00. Geria ringi
99. Uma","CON Muphokezi wa namba kasajilirwe ama nambaye kai karakara
00. Jeza Kaheri
99. Ombola","CON Jayuto mar nambani okyudre kata oknikare.
00. Tem kendo
99. Wuok","CON Nam atin ergu jiraa injirt.
00.Jarib amale
99. Ondoka"
exit_successful_transaction,"CON Your request has been sent. %{recipient_information} will receive %{transaction_amount} %{token_symbol} from %{sender_information}.
00. Back
99. Exit","CON Ombi lako limetumwa. %{recipient_information} atapokea %{transaction_amount} %{token_symbol} kutoka kwa %{sender_information}
00. Rudi
99. Ondoka","CON Woni niwatumwa. %{recipient_information} nukukwata %{transaction_amount} %{token_symbol} kuma kwa %{sender_information}
00. Itina
99. Uma","CON Mahoya maku nimatomwo. %{recipient_information} akuamukira%{transaction_amount} %{token_symbol} kuma kwa %{sender_information}
00. Thutha
99. Uma","CON Mavoyogo gahumwa. %{recipient_information} undaphokera %{transaction_amount} %{token_symbol} kuombola kwa %{sender_information}.
00. Uya Nyuma
99. Ombola","CON Kwayo ni oseor. %{recipient_information} oboyudo %{transaction_amount} %{token_symbol} kowuok kuom %{sender_information}
00. Dog chien
99. Wuogi","CON Qarqar kake yaergad. %{recipient_information} inargat %{transaction_amount} %{token_symbol} kutoka kwa %{sender_information}
00. Dheebi
99. Bai"
exit_insufficient_balance,"CON Payment of %{amount} %{token_symbol} to %{recipient_information} has failed due to insufficient balance
Balance: %{token_balance}
00. Back
99. Exit","CON Malipo ya %{amount} %{token_symbol} kwa %{recipient_information} halijakamilika kwa sababu salio lako haitoshi
Salio: %{token_balance}
00. Rudi
99. Ondoka","CON Ndivi ya %{amount} %{token_symbol} kwa %{recipient_information} iitonyeka, utyalyo waku ni munini.
Utyalyo: %{token_balance}
00. Itina
99. Uma","CON Marehi ma %{amount} %{token_symbol} kwa %{recipient_information} nimarega tondu matigari maku ni manini
Salio: %{token_balance}
00. Thutha
99. Uma","CON Maripho ga %{amount} %{token_symbol} kwa %{recipient_information}  Kagadzangwe kukamirika Kwaukala sazoro Karitosha.
Sazo: %{token_balance}
00. Uya nyuma
99. Ombola","CON Chudo mar %{amount} %{token_symbol} ne %{recipient_information} okotieki nikech dong ni okrom
Akaont ni gi dong mar: %{token_balance}
00. Chien
99. Wuok","CON Malipo ta%{amount} %{token_symbol} kwa %{recipient_information} Inkamilikee balansi ingau
Akaunti balansi akan: %{token_balance}
00. Dheebi
99. Bai"
exit_successful_token_selection,"CON Success! %{token_symbol} is your active Sarafu.
00. Back
99. Exit","CON Chaguo lako limekamilika, %{token_symbol} ni sarafu itakayotumika
00. Rudi
99. Ondoka","CON Woni waku niwetikilwa! %{token_symbol} ii niyo Sarafu yaku ya kutumia.
00. Itina
99. Uma","CON Niwahota ! %{token_symbol} Sarafu ciaku ni
00. Thutha
99. Uma","CON uweza %{token_symbol} ndo sazoro rihumikanaro.
00. Uya nyuma
99. Ombola","CON Kwayo mari odhi kare! %{token_symbol} e Sarafu ni modong
00. Chien
99. Wuok","CON yadandeeth!%{token_symbol}Sarafu kake.
00. Dheebi
9.Bai"
invalid_service_code,Please dial %{valid_service_code} to access Sarafu Network,Bonyeza %{valid_service_code} kutumia mtandao wa Sarafu,Vinyia %{valid_service_code} kutumia mutandao wa Sarafu,Hihinya%{valid_service_code} kuhudhira mutabo wa Sarafu,Hofya %{valid_service_code} Kuhumira Mutandao wa sarafu,Dii %{valid_service_code} mondo iti gi Sarafu,Bonyeza %{valid_service_code} kutumia mtandao wa Sarafu
help,"CON For assistance call %{support_phone}
00. Back
99. Exit","CON Kwa usaidizi piga simu %{support_phone}
00. Rudi
99. Ondoka","CON Kwa utethyo kuna simu %{support_phone}
00. Itina
99. Uma","CON Kwa uteithio hora thimu %{support_phone}
00. Thutha
99. Uma","CON Kwa Kuavizwa piga simu  %{support_phone}
00. Uya nyuma
99. Ombola","CON Kuom kony go simu e %{support_phone}
00. Chien
99. Wuok","CON Qarqars simu dai%{support_phone}
00. Dheebi
99. Bai"
complete,"CON Your request has been sent. You will receive an SMS shortly.
00. Back
99. Exit","CON Ombi lako limetumwa. Utapokea uthibitishaji wa SMS kwa muda mfupi.
00. Rudi
99. Ondoka","CON Woni waku niwatumwa. Nukwata SMS ivinda ite yasa.
00. Itina
99. Uma","CON Mahoya maku nimatomwo. Niukuamukira SMS  ihinda ikuhi .
00. Thutha
99. Uma","CON Vyoyoro rihumwa. Undaphokera Uthibitishaji wa SMS kwa muda mufuhi.
00. Uya nyuma
99. Ombola","CON Kwayo ni oseor. Iboyudo mesej mar ote ni bang' saa matin.
00. Chien
99. Wuok","CON Qarqars kake yaergad. Utapokea uthibitishaji wa SMS kwa muda mfupi.
00. Dheebi
99. Bai"
account_creation_prompt,END Your account is being created. You will receive an SMS when your account is ready.,END Akaunti yako ya Sarafu inatayarishwa. Utapokea ujumbe wa SMS akaunti yako ikiwa tayari.,END Kinandu chaku cha Sarafu chendeye usovwa. Nukwata SMS kinandu chaku chasovwa.,END Akaunti yaku ya Sarafu niiraharirio.Niugutumirwo SMS akauti yaku ya rikio kuharirio,END Akauntiyo ya sarafu idzikoni. Undaphokera  ujumbe wa SMS ichikala tayari.,END Akaont ni mar Sarafu iloso. Iboyudo mesej ka akaont ni otieki.,END Akaunt kake ta Sarafu midasaan jiraa.Meseji siergan ojaa tayar taat
initial_middle_language_set,"CON Choose language:
%{middle_language_set}
11. Next
22. Previous
00. Exit","CON Chagua lugha:
%{middle_language_set}
11. Mbele
22. Rudi
00. Ondoka","CON Sakua luka:
%{middle_language_set}
11. Mbee
22. Itina
00. Uma","CON Cagura ruthiomi:
%{middle_language_set}
11. Ikinya ringi
22. Thutha
00. Uma","CON Tsagula Luga:
%{middle_language_set}
11. Mbere
22. Uyira ya nyuma
00. Ombola","CON Yier dhok:
%{middle_language_set}
11. Nyime
22. Mokalo
00. Wuok","CON afaan chaguad
.%{middle_language_set}
11. Dhuur
22.Waan dhabran
00.Bai"
initial_last_language_set,"CON Choose language:
%{last_language_set}
22. Previous
00. Exit","CON Choose language:
%{last_language_set}
22. Rudi
00. Ondoka","CON Sakua luka:
%{last_language_set}
22. Itina 
00. Uma","CON : Cagura ruthiomi
%{last_language_set}
22. Thutha
00. Uma","CON Tsagula luga:
%{last_language_set}
22. Uyira ya nyuma
00. Ombola","CON Yier dhok:
%{last_language_set}
22. Mokalo
00. Wuok","CON Afaan chaguad.
%last_language_set
22.Dheebi
00.Bai"
middle_language_set,"CON Choose language:
%{middle_language_set}
11. Next
22. Previous
00. Exit","CON Chagua lugha:
%{middle_language_set}
11. Mbele
22. Rudi
00. Ondoka","CON Sakua luka:
%{middle_language_set}
11. Mbee
22. Itina
00. Uma","CON : Cagura ruthiomi
%{middle_language_set}
11. Ikinya ringi
22. Thutha
00. Uma","CON Tsagula luga:
%{middle_language_set}
11. Mbere
22. Uyira ya nyuma
00. Ombola","CON Yier dhok:
%{middle_language_set}
11. Nyime
22. Mokalo
00. Wuok","CON Afaan chaguad: %{middle_language_set}
11.Dhuur
22.Dheebi
00.Bai"
last_language_set,"CON Choose language:
%{last_language_set}
22. Previous
00. Exit","CON Choose language:
%{last_language_set}
22. Rudi
00. Ondoka","CON Sakua luka:
%{last_language_set}
22. Itina
00. Uma","CON : Cagura ruthiomi
%{last_language_set}
22. Thutha
00. Uma","CON Tsagula luga:
%{last_language_set}
22. Uyira ya nyuma
00. Ombola","CON Yier dhok:
%{last_language_set}
22. Mokalo
00. Wuok","CON Afaan chaguad:
%{last_language_set}
22.Waan dhabran
00.Bai"
